name,regionid,year,count
Alameda,206428,2004,
Alameda,206428,2005,1
Alameda,206428,2006,
Alameda,206428,2007,1
Alameda,206428,2008,
Alameda,206428,2009,
Alameda,206428,2010,1
Alameda,206428,2011,1
Alameda,206428,2012,2
Alameda,206428,2013,2
Alameda,206428,2014,3
Arbor Lodge,271060,2004,
Arbor Lodge,271060,2005,4
Arbor Lodge,271060,2006,5
Arbor Lodge,271060,2007,2
Arbor Lodge,271060,2008,2
Arbor Lodge,271060,2009,2
Arbor Lodge,271060,2010,3
Arbor Lodge,271060,2011,2
Arbor Lodge,271060,2012,3
Arbor Lodge,271060,2013,8
Arbor Lodge,271060,2014,11
Ardenwald,272783,2004,
Ardenwald,272783,2005,
Ardenwald,272783,2006,
Ardenwald,272783,2007,
Ardenwald,272783,2008,
Ardenwald,272783,2009,
Ardenwald,272783,2010,
Ardenwald,272783,2011,
Ardenwald,272783,2012,
Ardenwald,272783,2013,
Ardenwald,272783,2014,
Argay,271061,2004,
Argay,271061,2005,5
Argay,271061,2006,
Argay,271061,2007,
Argay,271061,2008,
Argay,271061,2009,
Argay,271061,2010,
Argay,271061,2011,
Argay,271061,2012,
Argay,271061,2013,
Argay,271061,2014,
Boise,271065,2004,
Boise,271065,2005,2
Boise,271065,2006,4
Boise,271065,2007,
Boise,271065,2008,1
Boise,271065,2009,6
Boise,271065,2010,1
Boise,271065,2011,3
Boise,271065,2012,4
Boise,271065,2013,4
Boise,271065,2014,14
Brentwood-Darlington,276222,2004,12
Brentwood-Darlington,276222,2005,20
Brentwood-Darlington,276222,2006,19
Brentwood-Darlington,276222,2007,17
Brentwood-Darlington,276222,2008,14
Brentwood-Darlington,276222,2009,7
Brentwood-Darlington,276222,2010,8
Brentwood-Darlington,276222,2011,3
Brentwood-Darlington,276222,2012,6
Brentwood-Darlington,276222,2013,9
Brentwood-Darlington,276222,2014,10
Bridgeton,271067,2004,3
Bridgeton,271067,2005,5
Bridgeton,271067,2006,1
Bridgeton,271067,2007,
Bridgeton,271067,2008,1
Bridgeton,271067,2009,1
Bridgeton,271067,2010,
Bridgeton,271067,2011,1
Bridgeton,271067,2012,
Bridgeton,271067,2013,
Bridgeton,271067,2014,
Bridlemile,206554,2004,2
Bridlemile,206554,2005,
Bridlemile,206554,2006,
Bridlemile,206554,2007,
Bridlemile,206554,2008,2
Bridlemile,206554,2009,
Bridlemile,206554,2010,
Bridlemile,206554,2011,
Bridlemile,206554,2012,2
Bridlemile,206554,2013,3
Bridlemile,206554,2014,3
Brooklyn,206562,2004,
Brooklyn,206562,2005,
Brooklyn,206562,2006,
Brooklyn,206562,2007,
Brooklyn,206562,2008,1
Brooklyn,206562,2009,
Brooklyn,206562,2010,1
Brooklyn,206562,2011,
Brooklyn,206562,2012,
Brooklyn,206562,2013,3
Brooklyn,206562,2014,6
Buckman,271068,2004,
Buckman,271068,2005,
Buckman,271068,2006,
Buckman,271068,2007,
Buckman,271068,2008,
Buckman,271068,2009,1
Buckman,271068,2010,
Buckman,271068,2011,2
Buckman,271068,2012,
Buckman,271068,2013,2
Buckman,271068,2014,
Cathedral Park,271070,2004,8
Cathedral Park,271070,2005,5
Cathedral Park,271070,2006,6
Cathedral Park,271070,2007,8
Cathedral Park,271070,2008,3
Cathedral Park,271070,2009,2
Cathedral Park,271070,2010,2
Cathedral Park,271070,2011,1
Cathedral Park,271070,2012,6
Cathedral Park,271070,2013,2
Cathedral Park,271070,2014,7
Centennial,271071,2004,3
Centennial,271071,2005,9
Centennial,271071,2006,4
Centennial,271071,2007,4
Centennial,271071,2008,2
Centennial,271071,2009,1
Centennial,271071,2010,
Centennial,271071,2011,2
Centennial,271071,2012,2
Centennial,271071,2013,3
Centennial,271071,2014,4
Center,271072,2004,2
Center,271072,2005,
Center,271072,2006,
Center,271072,2007,1
Center,271072,2008,1
Center,271072,2009,1
Center,271072,2010,
Center,271072,2011,1
Center,271072,2012,
Center,271072,2013,4
Center,271072,2014,4
Central Beaverton,273187,2004,
Central Beaverton,273187,2005,
Central Beaverton,273187,2006,
Central Beaverton,273187,2007,
Central Beaverton,273187,2008,
Central Beaverton,273187,2009,
Central Beaverton,273187,2010,
Central Beaverton,273187,2011,
Central Beaverton,273187,2012,
Central Beaverton,273187,2013,
Central Beaverton,273187,2014,
Concordia,271076,2004,
Concordia,271076,2005,4
Concordia,271076,2006,1
Concordia,271076,2007,3
Concordia,271076,2008,13
Concordia,271076,2009,4
Concordia,271076,2010,2
Concordia,271076,2011,21
Concordia,271076,2012,7
Concordia,271076,2013,10
Concordia,271076,2014,9
Corbett-Terwilliger-Lair Hill,273346,2004,1
Corbett-Terwilliger-Lair Hill,273346,2005,4
Corbett-Terwilliger-Lair Hill,273346,2006,2
Corbett-Terwilliger-Lair Hill,273346,2007,1
Corbett-Terwilliger-Lair Hill,273346,2008,1
Corbett-Terwilliger-Lair Hill,273346,2009,
Corbett-Terwilliger-Lair Hill,273346,2010,1
Corbett-Terwilliger-Lair Hill,273346,2011,
Corbett-Terwilliger-Lair Hill,273346,2012,2
Corbett-Terwilliger-Lair Hill,273346,2013,2
Corbett-Terwilliger-Lair Hill,273346,2014,1
Creston-Kenilworth,273402,2004,
Creston-Kenilworth,273402,2005,1
Creston-Kenilworth,273402,2006,
Creston-Kenilworth,273402,2007,
Creston-Kenilworth,273402,2008,
Creston-Kenilworth,273402,2009,1
Creston-Kenilworth,273402,2010,
Creston-Kenilworth,273402,2011,1
Creston-Kenilworth,273402,2012,3
Creston-Kenilworth,273402,2013,6
Creston-Kenilworth,273402,2014,2
Cully,271079,2004,3
Cully,271079,2005,3
Cully,271079,2006,3
Cully,271079,2007,15
Cully,271079,2008,6
Cully,271079,2009,4
Cully,271079,2010,5
Cully,271079,2011,2
Cully,271079,2012,7
Cully,271079,2013,9
Cully,271079,2014,12
Denny Whitford,276294,2004,
Denny Whitford,276294,2005,
Denny Whitford,276294,2006,
Denny Whitford,276294,2007,
Denny Whitford,276294,2008,
Denny Whitford,276294,2009,
Denny Whitford,276294,2010,
Denny Whitford,276294,2011,
Denny Whitford,276294,2012,
Denny Whitford,276294,2013,
Denny Whitford,276294,2014,
Downtown,271082,2004,
Downtown,271082,2005,
Downtown,271082,2006,
Downtown,271082,2007,2
Downtown,271082,2008,
Downtown,271082,2009,
Downtown,271082,2010,
Downtown,271082,2011,
Downtown,271082,2012,
Downtown,271082,2013,2
Downtown,271082,2014,
Eastmoreland,206780,2004,
Eastmoreland,206780,2005,1
Eastmoreland,206780,2006,
Eastmoreland,206780,2007,2
Eastmoreland,206780,2008,
Eastmoreland,206780,2009,
Eastmoreland,206780,2010,1
Eastmoreland,206780,2011,
Eastmoreland,206780,2012,3
Eastmoreland,206780,2013,3
Eastmoreland,206780,2014,4
Eliot,271085,2004,
Eliot,271085,2005,
Eliot,271085,2006,
Eliot,271085,2007,2
Eliot,271085,2008,1
Eliot,271085,2009,
Eliot,271085,2010,1
Eliot,271085,2011,
Eliot,271085,2012,2
Eliot,271085,2013,5
Eliot,271085,2014,3
Far Southwest,271087,2004,5
Far Southwest,271087,2005,15
Far Southwest,271087,2006,8
Far Southwest,271087,2007,6
Far Southwest,271087,2008,1
Far Southwest,271087,2009,2
Far Southwest,271087,2010,
Far Southwest,271087,2011,3
Far Southwest,271087,2012,5
Far Southwest,271087,2013,3
Far Southwest,271087,2014,7
Five Oaks,271089,2004,
Five Oaks,271089,2005,
Five Oaks,271089,2006,
Five Oaks,271089,2007,
Five Oaks,271089,2008,
Five Oaks,271089,2009,
Five Oaks,271089,2010,
Five Oaks,271089,2011,
Five Oaks,271089,2012,
Five Oaks,271089,2013,
Five Oaks,271089,2014,
Forest Park,271090,2004,
Forest Park,271090,2005,
Forest Park,271090,2006,2
Forest Park,271090,2007,1
Forest Park,271090,2008,
Forest Park,271090,2009,3
Forest Park,271090,2010,2
Forest Park,271090,2011,2
Forest Park,271090,2012,
Forest Park,271090,2013,
Forest Park,271090,2014,1
Foster Powell,344054,2004,2
Foster Powell,344054,2005,6
Foster Powell,344054,2006,4
Foster Powell,344054,2007,2
Foster Powell,344054,2008,3
Foster Powell,344054,2009,2
Foster Powell,344054,2010,4
Foster Powell,344054,2011,5
Foster Powell,344054,2012,9
Foster Powell,344054,2013,6
Foster Powell,344054,2014,6
Government Island,273856,2004,
Government Island,273856,2005,
Government Island,273856,2006,
Government Island,273856,2007,
Government Island,273856,2008,
Government Island,273856,2009,
Government Island,273856,2010,
Government Island,273856,2011,
Government Island,273856,2012,
Government Island,273856,2013,
Government Island,273856,2014,
Greenway,273899,2004,
Greenway,273899,2005,
Greenway,273899,2006,
Greenway,273899,2007,
Greenway,273899,2008,
Greenway,273899,2009,
Greenway,273899,2010,
Greenway,273899,2011,
Greenway,273899,2012,
Greenway,273899,2013,
Greenway,273899,2014,
Haden Island,273912,2004,
Haden Island,273912,2005,
Haden Island,273912,2006,
Haden Island,273912,2007,
Haden Island,273912,2008,1
Haden Island,273912,2009,1
Haden Island,273912,2010,1
Haden Island,273912,2011,
Haden Island,273912,2012,
Haden Island,273912,2013,
Haden Island,273912,2014,
Hayhurst,271098,2004,1
Hayhurst,271098,2005,
Hayhurst,271098,2006,1
Hayhurst,271098,2007,3
Hayhurst,271098,2008,1
Hayhurst,271098,2009,2
Hayhurst,271098,2010,2
Hayhurst,271098,2011,
Hayhurst,271098,2012,3
Hayhurst,271098,2013,5
Hayhurst,271098,2014,4
Hazelwood,206971,2004,3
Hazelwood,206971,2005,6
Hazelwood,206971,2006,9
Hazelwood,206971,2007,7
Hazelwood,206971,2008,6
Hazelwood,206971,2009,3
Hazelwood,206971,2010,3
Hazelwood,206971,2011,4
Hazelwood,206971,2012,8
Hazelwood,206971,2013,14
Hazelwood,206971,2014,3
Hector Campbell,273955,2004,
Hector Campbell,273955,2005,
Hector Campbell,273955,2006,
Hector Campbell,273955,2007,
Hector Campbell,273955,2008,
Hector Campbell,273955,2009,
Hector Campbell,273955,2010,
Hector Campbell,273955,2011,
Hector Campbell,273955,2012,
Hector Campbell,273955,2013,
Hector Campbell,273955,2014,
Highlands,274008,2004,
Highlands,274008,2005,
Highlands,274008,2006,
Highlands,274008,2007,
Highlands,274008,2008,
Highlands,274008,2009,
Highlands,274008,2010,
Highlands,274008,2011,
Highlands,274008,2012,
Highlands,274008,2013,
Highlands,274008,2014,
Hillsdale,206987,2004,1
Hillsdale,206987,2005,1
Hillsdale,206987,2006,4
Hillsdale,206987,2007,
Hillsdale,206987,2008,2
Hillsdale,206987,2009,4
Hillsdale,206987,2010,
Hillsdale,206987,2011,
Hillsdale,206987,2012,
Hillsdale,206987,2013,1
Hillsdale,206987,2014,2
Historic Milwaukie,274035,2004,
Historic Milwaukie,274035,2005,
Historic Milwaukie,274035,2006,
Historic Milwaukie,274035,2007,
Historic Milwaukie,274035,2008,
Historic Milwaukie,274035,2009,
Historic Milwaukie,274035,2010,
Historic Milwaukie,274035,2011,
Historic Milwaukie,274035,2012,
Historic Milwaukie,274035,2013,
Historic Milwaukie,274035,2014,
Homestead,274053,2004,1
Homestead,274053,2005,1
Homestead,274053,2006,
Homestead,274053,2007,1
Homestead,274053,2008,2
Homestead,274053,2009,1
Homestead,274053,2010,1
Homestead,274053,2011,
Homestead,274053,2012,
Homestead,274053,2013,
Homestead,274053,2014,
Hosford,274059,2004,
Hosford,274059,2005,1
Hosford,274059,2006,
Hosford,274059,2007,1
Hosford,274059,2008,2
Hosford,274059,2009,2
Hosford,274059,2010,2
Hosford,274059,2011,1
Hosford,274059,2012,3
Hosford,274059,2013,5
Hosford,274059,2014,3
Irvington,207031,2004,4
Irvington,207031,2005,2
Irvington,207031,2006,1
Irvington,207031,2007,5
Irvington,207031,2008,4
Irvington,207031,2009,2
Irvington,207031,2010,6
Irvington,207031,2011,6
Irvington,207031,2012,6
Irvington,207031,2013,2
Irvington,207031,2014,
Island Station,274111,2004,
Island Station,274111,2005,
Island Station,274111,2006,
Island Station,274111,2007,
Island Station,274111,2008,
Island Station,274111,2009,
Island Station,274111,2010,
Island Station,274111,2011,
Island Station,274111,2012,
Island Station,274111,2013,
Island Station,274111,2014,
Kenton,207061,2004,4
Kenton,207061,2005,4
Kenton,207061,2006,3
Kenton,207061,2007,1
Kenton,207061,2008,3
Kenton,207061,2009,1
Kenton,207061,2010,1
Kenton,207061,2011,4
Kenton,207061,2012,3
Kenton,207061,2013,5
Kenton,207061,2014,7
Kerns,271104,2004,
Kerns,271104,2005,
Kerns,271104,2006,
Kerns,271104,2007,1
Kerns,271104,2008,
Kerns,271104,2009,
Kerns,271104,2010,
Kerns,271104,2011,
Kerns,271104,2012,1
Kerns,271104,2013,1
Kerns,271104,2014,1
King,271105,2004,
King,271105,2005,4
King,271105,2006,4
King,271105,2007,2
King,271105,2008,2
King,271105,2009,8
King,271105,2010,6
King,271105,2011,6
King,271105,2012,2
King,271105,2013,12
King,271105,2014,14
Lake Road,274239,2004,
Lake Road,274239,2005,
Lake Road,274239,2006,
Lake Road,274239,2007,
Lake Road,274239,2008,
Lake Road,274239,2009,
Lake Road,274239,2010,
Lake Road,274239,2011,
Lake Road,274239,2012,
Lake Road,274239,2013,
Lake Road,274239,2014,
Lents,207108,2004,11
Lents,207108,2005,12
Lents,207108,2006,14
Lents,207108,2007,16
Lents,207108,2008,9
Lents,207108,2009,15
Lents,207108,2010,8
Lents,207108,2011,12
Lents,207108,2012,10
Lents,207108,2013,14
Lents,207108,2014,6
Lewelling,274295,2004,
Lewelling,274295,2005,
Lewelling,274295,2006,
Lewelling,274295,2007,
Lewelling,274295,2008,
Lewelling,274295,2009,
Lewelling,274295,2010,
Lewelling,274295,2011,
Lewelling,274295,2012,
Lewelling,274295,2013,
Lewelling,274295,2014,
Linnton,207125,2004,
Linnton,207125,2005,1
Linnton,207125,2006,2
Linnton,207125,2007,1
Linnton,207125,2008,
Linnton,207125,2009,
Linnton,207125,2010,1
Linnton,207125,2011,1
Linnton,207125,2012,2
Linnton,207125,2013,1
Linnton,207125,2014,
Linwood,274327,2004,
Linwood,274327,2005,
Linwood,274327,2006,
Linwood,274327,2007,
Linwood,274327,2008,
Linwood,274327,2009,
Linwood,274327,2010,
Linwood,274327,2011,
Linwood,274327,2012,
Linwood,274327,2013,
Linwood,274327,2014,
Lloyd,274337,2004,
Lloyd,274337,2005,
Lloyd,274337,2006,
Lloyd,274337,2007,
Lloyd,274337,2008,
Lloyd,274337,2009,
Lloyd,274337,2010,
Lloyd,274337,2011,
Lloyd,274337,2012,
Lloyd,274337,2013,
Lloyd,274337,2014,
Madison South,271108,2004,
Madison South,271108,2005,
Madison South,271108,2006,
Madison South,271108,2007,1
Madison South,271108,2008,1
Madison South,271108,2009,1
Madison South,271108,2010,
Madison South,271108,2011,
Madison South,271108,2012,
Madison South,271108,2013,1
Madison South,271108,2014,2
Maplewood-Ashcreek,274417,2004,5
Maplewood-Ashcreek,274417,2005,6
Maplewood-Ashcreek,274417,2006,12
Maplewood-Ashcreek,274417,2007,16
Maplewood-Ashcreek,274417,2008,5
Maplewood-Ashcreek,274417,2009,2
Maplewood-Ashcreek,274417,2010,4
Maplewood-Ashcreek,274417,2011,2
Maplewood-Ashcreek,274417,2012,1
Maplewood-Ashcreek,274417,2013,11
Maplewood-Ashcreek,274417,2014,15
McLoughlin Industrial,274478,2004,
McLoughlin Industrial,274478,2005,
McLoughlin Industrial,274478,2006,
McLoughlin Industrial,274478,2007,
McLoughlin Industrial,274478,2008,
McLoughlin Industrial,274478,2009,
McLoughlin Industrial,274478,2010,
McLoughlin Industrial,274478,2011,
McLoughlin Industrial,274478,2012,
McLoughlin Industrial,274478,2013,
McLoughlin Industrial,274478,2014,
Mill Park,271111,2004,8
Mill Park,271111,2005,2
Mill Park,271111,2006,11
Mill Park,271111,2007,3
Mill Park,271111,2008,
Mill Park,271111,2009,
Mill Park,271111,2010,1
Mill Park,271111,2011,
Mill Park,271111,2012,5
Mill Park,271111,2013,
Mill Park,271111,2014,2
Milwaukie Business-Industry,274545,2004,
Milwaukie Business-Industry,274545,2005,
Milwaukie Business-Industry,274545,2006,
Milwaukie Business-Industry,274545,2007,
Milwaukie Business-Industry,274545,2008,
Milwaukie Business-Industry,274545,2009,
Milwaukie Business-Industry,274545,2010,
Milwaukie Business-Industry,274545,2011,
Milwaukie Business-Industry,274545,2012,
Milwaukie Business-Industry,274545,2013,
Milwaukie Business-Industry,274545,2014,
Montavilla,207230,2004,6
Montavilla,207230,2005,8
Montavilla,207230,2006,8
Montavilla,207230,2007,10
Montavilla,207230,2008,5
Montavilla,207230,2009,5
Montavilla,207230,2010,4
Montavilla,207230,2011,7
Montavilla,207230,2012,6
Montavilla,207230,2013,8
Montavilla,207230,2014,9
Mount Scott,274604,2004,2
Mount Scott,274604,2005,2
Mount Scott,274604,2006,6
Mount Scott,274604,2007,5
Mount Scott,274604,2008,3
Mount Scott,274604,2009,1
Mount Scott,274604,2010,4
Mount Scott,274604,2011,3
Mount Scott,274604,2012,2
Mount Scott,274604,2013,5
Mount Scott,274604,2014,13
Mount Tabor,274605,2004,1
Mount Tabor,274605,2005,2
Mount Tabor,274605,2006,2
Mount Tabor,274605,2007,2
Mount Tabor,274605,2008,
Mount Tabor,274605,2009,9
Mount Tabor,274605,2010,
Mount Tabor,274605,2011,
Mount Tabor,274605,2012,3
Mount Tabor,274605,2013,2
Mount Tabor,274605,2014,6
Neighbors Southwest,274653,2004,
Neighbors Southwest,274653,2005,
Neighbors Southwest,274653,2006,
Neighbors Southwest,274653,2007,
Neighbors Southwest,274653,2008,
Neighbors Southwest,274653,2009,
Neighbors Southwest,274653,2010,
Neighbors Southwest,274653,2011,
Neighbors Southwest,274653,2012,
Neighbors Southwest,274653,2013,
Neighbors Southwest,274653,2014,
Northwest,274797,2004,
Northwest,274797,2005,2
Northwest,274797,2006,2
Northwest,274797,2007,
Northwest,274797,2008,
Northwest,274797,2009,
Northwest,274797,2010,1
Northwest,274797,2011,
Northwest,274797,2012,
Northwest,274797,2013,1
Northwest,274797,2014,6
Old Town-Chinatown,274898,2004,
Old Town-Chinatown,274898,2005,
Old Town-Chinatown,274898,2006,
Old Town-Chinatown,274898,2007,
Old Town-Chinatown,274898,2008,
Old Town-Chinatown,274898,2009,
Old Town-Chinatown,274898,2010,
Old Town-Chinatown,274898,2011,
Old Town-Chinatown,274898,2012,
Old Town-Chinatown,274898,2013,
Old Town-Chinatown,274898,2014,3
Overlook,271119,2004,1
Overlook,271119,2005,3
Overlook,271119,2006,5
Overlook,271119,2007,4
Overlook,271119,2008,1
Overlook,271119,2009,3
Overlook,271119,2010,8
Overlook,271119,2011,1
Overlook,271119,2012,3
Overlook,271119,2013,7
Overlook,271119,2014,1
Parkrose,207340,2004,2
Parkrose,207340,2005,3
Parkrose,207340,2006,3
Parkrose,207340,2007,4
Parkrose,207340,2008,2
Parkrose,207340,2009,1
Parkrose,207340,2010,1
Parkrose,207340,2011,
Parkrose,207340,2012,1
Parkrose,207340,2013,1
Parkrose,207340,2014,3
Pearl District,271122,2004,
Pearl District,271122,2005,
Pearl District,271122,2006,
Pearl District,271122,2007,
Pearl District,271122,2008,
Pearl District,271122,2009,
Pearl District,271122,2010,
Pearl District,271122,2011,
Pearl District,271122,2012,
Pearl District,271122,2013,
Pearl District,271122,2014,
Pleasant Valley,275055,2004,1
Pleasant Valley,275055,2005,2
Pleasant Valley,275055,2006,7
Pleasant Valley,275055,2007,3
Pleasant Valley,275055,2008,4
Pleasant Valley,275055,2009,
Pleasant Valley,275055,2010,
Pleasant Valley,275055,2011,4
Pleasant Valley,275055,2012,1
Pleasant Valley,275055,2013,2
Pleasant Valley,275055,2014,6
Portsmith,275080,2004,2
Portsmith,275080,2005,
Portsmith,275080,2006,3
Portsmith,275080,2007,1
Portsmith,275080,2008,6
Portsmith,275080,2009,3
Portsmith,275080,2010,2
Portsmith,275080,2011,1
Portsmith,275080,2012,2
Portsmith,275080,2013,7
Portsmith,275080,2014,6
Powellhurst,207384,2004,7
Powellhurst,207384,2005,9
Powellhurst,207384,2006,14
Powellhurst,207384,2007,15
Powellhurst,207384,2008,14
Powellhurst,207384,2009,7
Powellhurst,207384,2010,3
Powellhurst,207384,2011,4
Powellhurst,207384,2012,5
Powellhurst,207384,2013,8
Powellhurst,207384,2014,10
Raleigh West,275125,2004,
Raleigh West,275125,2005,
Raleigh West,275125,2006,
Raleigh West,275125,2007,
Raleigh West,275125,2008,
Raleigh West,275125,2009,
Raleigh West,275125,2010,
Raleigh West,275125,2011,
Raleigh West,275125,2012,
Raleigh West,275125,2013,
Raleigh West,275125,2014,
Reed,344057,2004,
Reed,344057,2005,
Reed,344057,2006,
Reed,344057,2007,
Reed,344057,2008,
Reed,344057,2009,
Reed,344057,2010,
Reed,344057,2011,
Reed,344057,2012,2
Reed,344057,2013,1
Reed,344057,2014,1
Richmond,276532,2004,
Richmond,276532,2005,
Richmond,276532,2006,2
Richmond,276532,2007,2
Richmond,276532,2008,2
Richmond,276532,2009,
Richmond,276532,2010,2
Richmond,276532,2011,5
Richmond,276532,2012,2
Richmond,276532,2013,7
Richmond,276532,2014,11
Roseway,271127,2004,3
Roseway,271127,2005,7
Roseway,271127,2006,2
Roseway,271127,2007,3
Roseway,271127,2008,1
Roseway,271127,2009,2
Roseway,271127,2010,1
Roseway,271127,2011,10
Roseway,271127,2012,2
Roseway,271127,2013,6
Roseway,271127,2014,12
Ross Island,275256,2004,
Ross Island,275256,2005,
Ross Island,275256,2006,
Ross Island,275256,2007,
Ross Island,275256,2008,
Ross Island,275256,2009,
Ross Island,275256,2010,
Ross Island,275256,2011,
Ross Island,275256,2012,
Ross Island,275256,2013,
Ross Island,275256,2014,
Saintjohns,275553,2004,
Saintjohns,275553,2005,
Saintjohns,275553,2006,3
Saintjohns,275553,2007,
Saintjohns,275553,2008,1
Saintjohns,275553,2009,3
Saintjohns,275553,2010,
Saintjohns,275553,2011,
Saintjohns,275553,2012,1
Saintjohns,275553,2013,1
Saintjohns,275553,2014,1
Sellwood-Moreland,275327,2004,2
Sellwood-Moreland,275327,2005,2
Sellwood-Moreland,275327,2006,2
Sellwood-Moreland,275327,2007,4
Sellwood-Moreland,275327,2008,7
Sellwood-Moreland,275327,2009,10
Sellwood-Moreland,275327,2010,9
Sellwood-Moreland,275327,2011,8
Sellwood-Moreland,275327,2012,15
Sellwood-Moreland,275327,2013,22
Sellwood-Moreland,275327,2014,13
Sexton Mountain,271131,2004,
Sexton Mountain,271131,2005,
Sexton Mountain,271131,2006,
Sexton Mountain,271131,2007,
Sexton Mountain,271131,2008,
Sexton Mountain,271131,2009,
Sexton Mountain,271131,2010,
Sexton Mountain,271131,2011,
Sexton Mountain,271131,2012,
Sexton Mountain,271131,2013,
Sexton Mountain,271131,2014,
South Beaverton,275412,2004,
South Beaverton,275412,2005,
South Beaverton,275412,2006,
South Beaverton,275412,2007,
South Beaverton,275412,2008,
South Beaverton,275412,2009,
South Beaverton,275412,2010,
South Beaverton,275412,2011,
South Beaverton,275412,2012,
South Beaverton,275412,2013,
South Beaverton,275412,2014,
South Tabor,344059,2004,
South Tabor,344059,2005,
South Tabor,344059,2006,
South Tabor,344059,2007,1
South Tabor,344059,2008,
South Tabor,344059,2009,
South Tabor,344059,2010,1
South Tabor,344059,2011,
South Tabor,344059,2012,2
South Tabor,344059,2013,3
South Tabor,344059,2014,2
Southwest Hills,271136,2004,
Southwest Hills,271136,2005,
Southwest Hills,271136,2006,1
Southwest Hills,271136,2007,1
Southwest Hills,271136,2008,1
Southwest Hills,271136,2009,
Southwest Hills,271136,2010,
Southwest Hills,271136,2011,1
Southwest Hills,271136,2012,
Southwest Hills,271136,2013,3
Southwest Hills,271136,2014,2
Sunderland,271139,2004,1
Sunderland,271139,2005,
Sunderland,271139,2006,
Sunderland,271139,2007,
Sunderland,271139,2008,1
Sunderland,271139,2009,
Sunderland,271139,2010,
Sunderland,271139,2011,
Sunderland,271139,2012,
Sunderland,271139,2013,
Sunderland,271139,2014,
Triple Creek,271142,2004,
Triple Creek,271142,2005,
Triple Creek,271142,2006,
Triple Creek,271142,2007,
Triple Creek,271142,2008,
Triple Creek,271142,2009,
Triple Creek,271142,2010,
Triple Creek,271142,2011,
Triple Creek,271142,2012,
Triple Creek,271142,2013,
Triple Creek,271142,2014,
University Park,207639,2004,1
University Park,207639,2005,1
University Park,207639,2006,1
University Park,207639,2007,2
University Park,207639,2008,2
University Park,207639,2009,2
University Park,207639,2010,4
University Park,207639,2011,4
University Park,207639,2012,4
University Park,207639,2013,7
University Park,207639,2014,6
Vose,275899,2004,
Vose,275899,2005,
Vose,275899,2006,
Vose,275899,2007,
Vose,275899,2008,
Vose,275899,2009,
Vose,275899,2010,
Vose,275899,2011,
Vose,275899,2012,
Vose,275899,2013,
Vose,275899,2014,
West Beaverton,271146,2004,
West Beaverton,271146,2005,
West Beaverton,271146,2006,
West Beaverton,271146,2007,
West Beaverton,271146,2008,
West Beaverton,271146,2009,
West Beaverton,271146,2010,
West Beaverton,271146,2011,
West Beaverton,271146,2012,
West Beaverton,271146,2013,
West Beaverton,271146,2014,
West Slope,275992,2004,
West Slope,275992,2005,
West Slope,275992,2006,
West Slope,275992,2007,
West Slope,275992,2008,
West Slope,275992,2009,
West Slope,275992,2010,
West Slope,275992,2011,
West Slope,275992,2012,
West Slope,275992,2013,
West Slope,275992,2014,
Wilkes,271150,2004,1
Wilkes,271150,2005,3
Wilkes,271150,2006,2
Wilkes,271150,2007,1
Wilkes,271150,2008,1
Wilkes,271150,2009,1
Wilkes,271150,2010,1
Wilkes,271150,2011,4
Wilkes,271150,2012,
Wilkes,271150,2013,2
Wilkes,271150,2014,2
Woodlawn,271152,2004,
Woodlawn,271152,2005,
Woodlawn,271152,2006,3
Woodlawn,271152,2007,2
Woodlawn,271152,2008,2
Woodlawn,271152,2009,
Woodlawn,271152,2010,1
Woodlawn,271152,2011,5
Woodlawn,271152,2012,7
Woodlawn,271152,2013,8
Woodlawn,271152,2014,11
Woodstock,207740,2004,5
Woodstock,207740,2005,2
Woodstock,207740,2006,4
Woodstock,207740,2007,3
Woodstock,207740,2008,6
Woodstock,207740,2009,3
Woodstock,207740,2010,2
Woodstock,207740,2011,6
Woodstock,207740,2012,4
Woodstock,207740,2013,13
Woodstock,207740,2014,12
